"","zip","county","County.FIP","Name","State","State.FIP","County.Name"
"2481","45776",39009,9,"Ohio","OH",39,"Athens County"
"2482","45653",39145,145,"Ohio","OH",39,"Scioto County"
"2483","45734",39111,111,"Ohio","OH",39,"Monroe County"
"2484","45647",39163,163,"Ohio","OH",39,"Vinton County"
"2485","43287",39049,49,"Ohio","OH",39,"Franklin County"
"2486","43758",39115,115,"Ohio","OH",39,"Morgan County"
"2487","43318",39091,91,"Ohio","OH",39,"Logan County"
"2488","43222",39049,49,"Ohio","OH",39,"Franklin County"
"2489","43231",39049,49,"Ohio","OH",39,"Franklin County"
"2490","43324",39091,91,"Ohio","OH",39,"Logan County"
"2491","43359",39175,175,"Ohio","OH",39,"Wyandot County"
"2492","43727",39119,119,"Ohio","OH",39,"Muskingum County"
"2493","43731",39115,115,"Ohio","OH",39,"Morgan County"
"2494","43234",39049,49,"Ohio","OH",39,"Franklin County"
"2495","43748",39127,127,"Ohio","OH",39,"Perry County"
"2496","45103",39025,25,"Ohio","OH",39,"Clermont County"
"2497","43212",39049,49,"Ohio","OH",39,"Franklin County"
"2498","43214",39049,49,"Ohio","OH",39,"Franklin County"
"2499","43157",39045,45,"Ohio","OH",39,"Fairfield County"
"2500","43215",39049,49,"Ohio","OH",39,"Franklin County"
"2501","43086",39041,41,"Ohio","OH",39,"Delaware County"
"2502","45426",39113,113,"Ohio","OH",39,"Montgomery County"
